NO_OF_SAMPLES	10280
FREQUENCY	1200
TIME_STAMP	2022-04-11, 14:13:41.908	8519.26453246
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima OPT400600-HF-2000-CTT 10116M
FORCE_PLATE_CORNER_POSX_POSY_X	-400.000006
FORCE_PLATE_CORNER_POSX_POSY_Y	600.000024
FORCE_PLATE_CORNER_POSX_POSY_Z	-35.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_Y	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Z	-35.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-35.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-400.000006
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	-35.000000
FORCE_PLATE_OFFSET_X	0.584200
FORCE_PLATE_OFFSET_Y	-0.787400
FORCE_PLATE_OFFSET_Z	-40.309800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
120	0.09917	0.265709	0.088455	1.799698	0.182816	0.000000	-0.018926	0.000000	0.000000	0.000000	
121	0.10000	0.531418	0.088455	-0.359940	0.000000	-0.145515	-0.018926	0.000000	0.000000	0.000000	
122	0.10083	-0.088570	-0.088455	1.079819	-0.045704	-0.145515	-0.037851	0.000000	0.000000	0.000000	
123	0.10167	0.088570	0.176910	-1.079819	0.182816	-0.109137	-0.018926	0.000000	0.000000	0.000000	
124	0.10250	0.442848	0.176910	-0.359940	0.274223	-0.109137	0.037851	0.000000	0.000000	0.000000	
125	0.10333	-0.177139	-0.442276	0.000000	-0.045704	0.036379	0.000000	0.000000	0.000000	0.000000	
126	0.10417	-0.265709	0.265366	-1.079819	0.182816	0.181894	-0.018926	0.000000	0.000000	0.000000	
127	0.10500	-0.177139	-0.088455	1.439758	0.000000	0.036379	0.056777	0.000000	0.000000	0.000000	
128	0.10583	-0.354279	0.088455	-0.719879	0.137112	0.218273	-0.113554	0.000000	0.000000	0.000000	
129	0.10667	0.088570	-0.088455	1.079819	-0.045704	-0.145515	0.000000	0.000000	0.000000	0.000000	
130	0.10750	0.177139	-0.176910	1.079819	0.137112	-0.036379	0.075703	0.000000	0.000000	0.000000	
131	0.10833	-0.265709	-0.265366	-0.359940	-0.045704	0.000000	0.018926	0.000000	0.000000	0.000000	
132	0.10917	0.531418	0.088455	0.000000	0.045704	-0.218273	-0.018926	0.000000	0.000000	0.000000	
133	0.11000	0.177139	0.000000	-0.719879	0.045704	-0.036379	-0.132480	0.000000	0.000000	0.000000	
134	0.11083	-0.177139	-0.088455	0.000000	-0.137112	-0.072758	0.056777	0.000000	0.000000	0.000000	
135	0.11167	0.088570	-0.176910	-1.799698	-0.091408	0.145515	-0.037851	0.000000	0.000000	0.000000	
136	0.11250	0.177139	0.176910	0.719879	0.045704	-0.109137	0.075703	0.000000	0.000000	0.000000	
137	0.11333	-0.088570	0.000000	-0.359940	-0.182816	-0.036379	-0.075703	0.000000	0.000000	0.000000	
138	0.11417	-0.354279	0.176910	0.359940	-0.228519	-0.036379	0.018926	0.000000	0.000000	0.000000	
139	0.11500	0.000000	0.176910	1.079819	-0.137112	-0.036379	0.018926	0.000000	0.000000	0.000000	
140	0.11583	-0.442848	-0.265366	-0.359940	-0.137112	-0.145515	-0.018926	0.000000	0.000000	0.000000	
141	0.11667	-0.177139	0.353821	1.079819	-0.137112	-0.072758	0.151405	0.000000	0.000000	0.000000	
142	0.11750	0.354279	-0.088455	0.359940	0.045704	0.072758	0.056777	0.000000	0.000000	0.000000	
143	0.11833	-0.265709	-0.088455	1.799698	-0.091408	-0.072758	-0.113554	0.000000	0.000000	0.000000	
144	0.11917	0.442848	0.353821	-1.439758	0.045704	0.109137	0.037851	0.000000	0.000000	0.000000	
145	0.12000	0.354279	-0.176910	0.000000	0.137112	-0.072758	0.037851	0.000000	0.000000	0.000000	
146	0.12083	0.708557	0.088455	0.359940	-0.137112	0.109137	0.037851	0.000000	0.000000	0.000000	
147	0.12167	0.000000	-0.176910	-0.359940	-0.091408	0.000000	-0.056777	0.000000	0.000000	0.000000	
148	0.12250	-0.265709	0.265366	0.719879	0.000000	0.072758	-0.056777	0.000000	0.000000	0.000000	
149	0.12333	0.088570	0.088455	-1.439758	-0.045704	0.036379	-0.113554	0.000000	0.000000	0.000000	
150	0.12417	0.088570	-0.265366	-1.079819	0.045704	-0.109137	0.094628	0.000000	0.000000	0.000000	
151	0.12500	-0.088570	0.000000	2.159637	0.045704	0.145515	-0.075703	0.000000	0.000000	0.000000	
152	0.12583	0.265709	0.088455	0.359940	0.228519	0.000000	0.075703	0.000000	0.000000	0.000000	
153	0.12667	0.354279	-0.265366	-1.079819	0.045704	-0.218273	-0.018926	0.000000	0.000000	0.000000	
154	0.12750	0.088570	-0.088455	-0.719879	-0.137112	-0.145515	-0.075703	0.000000	0.000000	0.000000	
155	0.12833	0.000000	0.265366	-2.159637	0.045704	0.000000	0.037851	0.000000	0.000000	0.000000	
156	0.12917	-0.088570	-0.088455	1.799698	0.091408	0.072758	0.018926	0.000000	0.000000	0.000000	
157	0.13000	0.088570	-0.088455	1.079819	-0.045704	-0.072758	-0.018926	0.000000	0.000000	0.000000	
158	0.13083	-0.177139	-0.530731	-0.719879	0.091408	-0.036379	-0.132480	0.000000	0.000000	0.000000	
159	0.13167	0.000000	-0.088455	-1.439758	0.045704	0.036379	-0.056777	0.000000	0.000000	0.000000	
160	0.13250	0.088570	0.088455	1.079819	-0.228519	-0.036379	0.056777	0.000000	0.000000	0.000000	
161	0.13333	-0.088570	0.088455	-0.719879	0.182816	-0.036379	-0.151405	0.000000	0.000000	0.000000	
162	0.13417	0.442848	-0.088455	1.079819	-0.091408	0.109137	0.000000	0.000000	0.000000	0.000000	
163	0.13500	-0.088570	0.000000	2.159637	-0.137112	0.000000	0.075703	0.000000	0.000000	0.000000	
164	0.13583	0.088570	0.000000	-0.719879	0.045704	-0.072758	-0.018926	0.000000	0.000000	0.000000	
165	0.13667	0.619987	0.088455	-1.079819	0.000000	0.072758	-0.018926	0.000000	0.000000	0.000000	
166	0.13750	-0.088570	-0.088455	-1.439758	-0.045704	-0.072758	0.056777	0.000000	0.000000	0.000000	
167	0.13833	-0.177139	-0.088455	1.079819	0.091408	-0.109137	-0.018926	0.000000	0.000000	0.000000	
168	0.13917	0.088570	-0.530731	-0.359940	-0.045704	-0.145515	-0.018926	0.000000	0.000000	0.000000	
169	0.14000	-0.265709	0.088455	0.359940	-0.045704	0.072758	0.018926	0.000000	0.000000	0.000000	
170	0.14083	0.000000	0.176910	-0.359940	-0.045704	-0.109137	0.000000	0.000000	0.000000	0.000000	
171	0.14167	0.088570	0.000000	1.439758	0.091408	0.000000	-0.018926	0.000000	0.000000	0.000000	
172	0.14250	0.000000	0.088455	-0.359940	0.091408	-0.109137	0.000000	0.000000	0.000000	0.000000	
173	0.14333	-0.177139	-0.088455	-0.719879	0.000000	-0.109137	0.056777	0.000000	0.000000	0.000000	
174	0.14417	0.265709	0.353821	1.799698	0.045704	-0.036379	-0.075703	0.000000	0.000000	0.000000	
175	0.14500	-0.354279	0.000000	1.439758	-0.228519	0.036379	-0.075703	0.000000	0.000000	0.000000	
176	0.14583	-0.442848	-0.176910	-1.439758	0.000000	0.072758	-0.018926	0.000000	0.000000	0.000000	
177	0.14667	0.177139	0.000000	-2.159637	0.091408	0.072758	0.056777	0.000000	0.000000	0.000000	
178	0.14750	0.265709	0.265366	0.719879	-0.045704	-0.072758	-0.094628	0.000000	0.000000	0.000000	
179	0.14833	-0.442848	0.088455	-0.359940	0.045704	0.072758	-0.094628	0.000000	0.000000	0.000000	
180	0.14917	-0.708557	0.000000	-0.359940	-0.091408	0.072758	0.018926	0.000000	0.000000	0.000000	
181	0.15000	0.177139	0.088455	-0.359940	0.091408	0.000000	-0.056777	0.000000	0.000000	0.000000	
182	0.15083	0.177139	0.088455	-1.079819	-0.137112	0.000000	-0.151405	0.000000	0.000000	0.000000	
183	0.15167	0.177139	0.265366	-1.439758	0.000000	0.072758	0.056777	0.000000	0.000000	0.000000	
