t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1133004,-1.34146,-0.430049,0.188146,2.40718,-2.694318,22.535603
1136005,-0.767247,0.241903,0.131947,5.484349,-1.009771,4.948358
1139008,-0.339641,-0.559553,-0.087965,2.723032,0.985843,-7.580462
1142010,-0.640187,-1.258382,-0.268781,-0.909273,2.928815,-12.614961
1145011,-1.153314,-0.992045,-0.354302,-3.962514,0.990629,-3.287739
1148013,-1.813048,-0.105069,-0.139277,-1.148555,-2.048256,9.293723
1151014,-1.681101,-0.408058,-0.009774,2.081756,-2.761317,18.05624
1154017,-1.336573,-0.676839,0.039095,1.837688,-5.417351,9.370294
1157018,-0.850324,0,0.019548,-0.306281,-2.770889,-4.48415
1160020,-0.857655,0.334754,-0.017104,-1.799403,-0.51685,-13.141382
1163022,-1.148427,0.244346,-0.026878,-2.411965,1.071985,-7.250252
1166023,-1.500285,-0.178373,0.109956,-2.517249,-0.382852,3.775874
1169025,-1.353677,-0.171042,0.202807,0.26321,-0.81356,12.610176
1172027,-1.123992,-0.153938,0.232129,2.612962,-2.139183,9.19801
1175028,-0.76236,-0.107512,0.065973,3.110669,-0.713061,4.910072
1178030,-0.864985,-0.043982,-0.039095,2.153541,0.574277,-5.551349
